encounter_id,olympedia_result_id,olympedia_match_id,edition,edition_id,year,city,venue_location,sport,event,gender,encounter_type,round_raw,group_raw,stage_raw,stage_normalized,match_date_raw,usa_participant,usa_participant_raw,usa_athlete_id,ussr_participant,ussr_participant_raw,ussr_athlete_id,result_raw,score_raw,score_usa_first,usa_score,ussr_score,winner,outcome_class,winner_method,counts_for_pulse,source_url,match_source_url,source_local_file
olympedia-93159,92978,93159,1964 Summer Olympics,16,1964,Tokyo,"Memorial Hall, Waseda Daigaku, Shinjuku, Tokyo",Fencing,"Foil, Individual, Women",Women,individual,Round One,Pool #4,Round One / Pool #4,Round 1 / Pool 4,14 Oct,Jan Romary,Jan Romary,21021,Galina Gorokhova,Galina Gorokhova,20963,4 – 3,4 – 3,4 – 3,4,3,USA,USA_WIN,numeric_score,True,https://www.olympedia.org/results/92978,https://www.olympedia.org/results/93159,92978.html
olympedia-91294,91259,91294,1964 Summer Olympics,16,1964,Tokyo,"Memorial Hall, Waseda Daigaku, Shinjuku, Tokyo",Fencing,"Sabre, Individual, Men",Men,individual,Quarter-Finals,Pool #1,Quarter-Finals / Pool #1,Quarter-final,19 Oct,Attila Keresztes,Attila Keresztes,23729,Yakov Rylsky,Yakov Rylsky,23600,5 – 1,5 – 1,1 – 5,1,5,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/91259,https://www.olympedia.org/results/91294,91259.html
olympedia-91352,91259,91352,1964 Summer Olympics,16,1964,Tokyo,"Memorial Hall, Waseda Daigaku, Shinjuku, Tokyo",Fencing,"Sabre, Individual, Men",Men,individual,Quarter-Finals,Pool #3,Quarter-Finals / Pool #3,Quarter-final,19 Oct,Tom Orley,Tom Orley,23774,Mark Rakita,Mark Rakita,23595,5 – 3,5 – 3,3 – 5,3,5,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/91259,https://www.olympedia.org/results/91352,91259.html
olympedia-90924,90845,90924,1964 Summer Olympics,16,1964,Tokyo,"Memorial Hall, Waseda Daigaku, Shinjuku, Tokyo",Fencing,"Épée, Individual, Men",Men,individual,Quarter-Finals,Pool #2,Quarter-Finals / Pool #2,Quarter-final,18 Oct,David Micahnik,David Micahnik,23758,Grigory Kriss,Grigory Kriss,23574,5 – 2,5 – 2,5 – 2,5,2,USA,USA_WIN,numeric_score,True,https://www.olympedia.org/results/90845,https://www.olympedia.org/results/90924,90845.html
olympedia-15104,15091,15104,1964 Summer Olympics,16,1964,Tokyo,"Nippon Budokan, Chiyoda, Tokyo",Judo,"Heavyweight, Men",Men,individual,Pool B,,Pool B,Pool,22 Oct,George Harris,George Harris,33817,Parnaoz Chik'viladze,Parnaoz Chik'viladze,34448,Waza-ari,Waza-ari,,,,URS,URS_WIN,first_competitor_result,True,https://www.olympedia.org/results/15091,https://www.olympedia.org/results/15104,15091.html
olympedia-37036,37000,37036,1964 Summer Olympics,16,1964,Tokyo,"Komazawa Volleyball Court, Komazawa Olympic Park, Tokyo / Yokohama Bunka Taiikukan, Naka, Yokohama",Volleyball,"Volleyball, Men",Men,team,Round-Robin,,Round-Robin,Round-Robin,21 Oct 19:00,United States,United States,,Soviet Union,Soviet Union,,"15-6, 15-5, 15-4","15-6, 15-5, 15-4","6 – 15, 5 – 15, 4 – 15",0,3,URS,URS_WIN,set_score,True,https://www.olympedia.org/results/37000,https://www.olympedia.org/results/37036,37000.html
olympedia-37059,37048,37059,1964 Summer Olympics,16,1964,Tokyo,"Komazawa Volleyball Court, Komazawa Olympic Park, Tokyo / Yokohama Bunka Taiikukan, Naka, Yokohama",Volleyball,"Volleyball, Women",Women,team,Round-Robin,,Round-Robin,Round-Robin,17 Oct 13:00,United States,United States,,Soviet Union,Soviet Union,,"15-1, 15-8, 15-7","15-1, 15-8, 15-7","1 – 15, 8 – 15, 7 – 15",0,3,URS,URS_WIN,set_score,True,https://www.olympedia.org/results/37048,https://www.olympedia.org/results/37059,37048.html
olympedia-125038,125026,125038,1964 Summer Olympics,16,1964,Tokyo,"Komazawa Gymnasium, Komazawa Olympic Park, Tokyo",Wrestling,"Featherweight, Freestyle, Men",Men,individual,Round Four,,Round Four,Round 4,14 Oct,Bobby Douglas,Bobby Douglas,60614,Nodar Khokhashvili,Nodar Khokhashvili,60487,Decision,Decision,,,,URS,URS_WIN,first_competitor_result,True,https://www.olympedia.org/results/125026,https://www.olympedia.org/results/125038,125026.html
olympedia-124964,124937,124964,1964 Summer Olympics,16,1964,Tokyo,"Komazawa Gymnasium, Komazawa Olympic Park, Tokyo",Wrestling,"Flyweight, Freestyle, Men",Men,individual,Round Two,,Round Two,Round 2,12 Oct,Gray Simons,Gray Simons,60762,Ali Aliyev,Ali Aliyev,60442,Draw,Draw,,,,DRAW,DRAW,explicit_draw,True,https://www.olympedia.org/results/124937,https://www.olympedia.org/results/124964,124937.html
olympedia-125253,125234,125253,1964 Summer Olympics,16,1964,Tokyo,"Komazawa Gymnasium, Komazawa Olympic Park, Tokyo",Wrestling,"Heavyweight, Freestyle, Men",Men,individual,Round Two,,Round Two,Round 2,12 Oct,Larry Kristoff,Larry Kristoff,60682,Aleksandr Ivanitsky,Aleksandr Ivanitsky,60475,Decision,Decision,,,,URS,URS_WIN,first_competitor_result,True,https://www.olympedia.org/results/125234,https://www.olympedia.org/results/125253,125234.html
olympedia-125492,125485,125492,1964 Summer Olympics,16,1964,Tokyo,"Komazawa Gymnasium, Komazawa Olympic Park, Tokyo",Wrestling,"Middleweight, Greco-Roman, Men",Men,individual,Round Four,,Round Four,Round 4,19 Oct,Wayne Baughman,Wayne Baughman,60570,Valentin Olenik,Valentin Olenik,60514,Decision,Decision,,,,URS,URS_WIN,first_competitor_result,True,https://www.olympedia.org/results/125485,https://www.olympedia.org/results/125492,125485.html
olympedia-23983,23981,23983,1968 Summer Olympics,17,1968,Mexico City,"Arena México, Ciudad de México",Boxing,"Heavyweight, Men",Men,individual,Final Round,,Final Round,Final,26 Oct,George Foreman,George Foreman,8668,Jonas Čepulis,Jonas Čepulis,8559,Referee stops contest,Referee stops contest,,,,USA,USA_WIN,first_competitor_result,True,https://www.olympedia.org/results/23981,https://www.olympedia.org/results/23983,23981.html
olympedia-93679,93474,93679,1968 Summer Olympics,17,1968,Mexico City,"Sala de Armas Fernando Montes de Oca, Ciudad Deportiva Magdalena Mixhuca, Ciudad de México",Fencing,"Foil, Individual, Men",Men,individual,Round Two,Pool #8,Round Two / Pool #8,Round 2 / Pool 8,15 Oct,Herb Cohen,Herb Cohen,23681,Viktor Putyatin,Viktor Putyatin,23594,beat,beat,,,,URS,URS_WIN,explicit_first_competitor_win,True,https://www.olympedia.org/results/93474,https://www.olympedia.org/results/93679,93474.html
olympedia-96231,96118,96231,1968 Summer Olympics,17,1968,Mexico City,"Sala de Armas Fernando Montes de Oca, Ciudad Deportiva Magdalena Mixhuca, Ciudad de México",Fencing,"Foil, Individual, Women",Women,individual,Round One,Pool #1,Round One / Pool #1,Round 1 / Pool 1,19 Oct,Jan Romary,Jan Romary,21021,Aleksandra Zabelina,Aleksandra Zabelina,20983,beat,beat,,,,URS,URS_WIN,explicit_first_competitor_win,True,https://www.olympedia.org/results/96118,https://www.olympedia.org/results/96231,96118.html
olympedia-96178,96118,96178,1968 Summer Olympics,17,1968,Mexico City,"Sala de Armas Fernando Montes de Oca, Ciudad Deportiva Magdalena Mixhuca, Ciudad de México",Fencing,"Foil, Individual, Women",Women,individual,Round Two,Pool #1,Round Two / Pool #1,Round 2 / Pool 1,19 Oct,Jan Romary,Jan Romary,21021,Aleksandra Zabelina,Aleksandra Zabelina,20983,beat,beat,,,,USA,USA_WIN,explicit_first_competitor_win,True,https://www.olympedia.org/results/96118,https://www.olympedia.org/results/96178,96118.html
olympedia-96194,96118,96194,1968 Summer Olympics,17,1968,Mexico City,"Sala de Armas Fernando Montes de Oca, Ciudad Deportiva Magdalena Mixhuca, Ciudad de México",Fencing,"Foil, Individual, Women",Women,individual,Round Two,Pool #2,Round Two / Pool #2,Round 2 / Pool 2,19 Oct,Harriet King,Harriet King,21004,Galina Gorokhova,Galina Gorokhova,20963,beat,beat,,,,USA,USA_WIN,explicit_first_competitor_win,True,https://www.olympedia.org/results/96118,https://www.olympedia.org/results/96194,96118.html
olympedia-94420,94245,94420,1968 Summer Olympics,17,1968,Mexico City,"Sala de Armas Fernando Montes de Oca, Ciudad Deportiva Magdalena Mixhuca, Ciudad de México",Fencing,"Sabre, Individual, Men",Men,individual,Round One,Pool #4,Round One / Pool #4,Round 1 / Pool 4,16 Oct,Alex Orban,Alex Orban,23772,Mark Rakita,Mark Rakita,23595,beat,beat,,,,URS,URS_WIN,explicit_first_competitor_win,True,https://www.olympedia.org/results/94245,https://www.olympedia.org/results/94420,94245.html
olympedia-94443,94245,94443,1968 Summer Olympics,17,1968,Mexico City,"Sala de Armas Fernando Montes de Oca, Ciudad Deportiva Magdalena Mixhuca, Ciudad de México",Fencing,"Sabre, Individual, Men",Men,individual,Round One,Pool #5,Round One / Pool #5,Round 1 / Pool 5,16 Oct,Jack Keane,Jack Keane,102559,Vladimir Nazlymov,Vladimir Nazlymov,23587,beat,beat,,,,URS,URS_WIN,explicit_first_competitor_win,True,https://www.olympedia.org/results/94245,https://www.olympedia.org/results/94443,94245.html
olympedia-94279,94245,94279,1968 Summer Olympics,17,1968,Mexico City,"Sala de Armas Fernando Montes de Oca, Ciudad Deportiva Magdalena Mixhuca, Ciudad de México",Fencing,"Sabre, Individual, Men",Men,individual,Round Two,,Round Two,Round 2,17 Oct,Alfonso Morales,Alfonso Morales,23761,Vladimir Nazlymov,Vladimir Nazlymov,23587,2 – 0,2 – 0,0 – 2,0,2,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/94245,https://www.olympedia.org/results/94279,94245.html
olympedia-94329,94245,94329,1968 Summer Olympics,17,1968,Mexico City,"Sala de Armas Fernando Montes de Oca, Ciudad Deportiva Magdalena Mixhuca, Ciudad de México",Fencing,"Sabre, Individual, Men",Men,individual,Round Two,Pool #3,Round Two / Pool #3,Round 2 / Pool 3,16 Oct,Jack Keane,Jack Keane,102559,Vladimir Nazlymov,Vladimir Nazlymov,23587,beat,beat,,,,URS,URS_WIN,explicit_first_competitor_win,True,https://www.olympedia.org/results/94245,https://www.olympedia.org/results/94329,94245.html
olympedia-94346,94245,94346,1968 Summer Olympics,17,1968,Mexico City,"Sala de Armas Fernando Montes de Oca, Ciudad Deportiva Magdalena Mixhuca, Ciudad de México",Fencing,"Sabre, Individual, Men",Men,individual,Round Two,Pool #4,Round Two / Pool #4,Round 2 / Pool 4,16 Oct,Alfonso Morales,Alfonso Morales,23761,Umyar Mavlikhanov,Umyar Mavlikhanov,23580,beat,beat,,,,USA,USA_WIN,explicit_first_competitor_win,True,https://www.olympedia.org/results/94245,https://www.olympedia.org/results/94346,94245.html
olympedia-94077,93838,94077,1968 Summer Olympics,17,1968,Mexico City,"Sala de Armas Fernando Montes de Oca, Ciudad Deportiva Magdalena Mixhuca, Ciudad de México",Fencing,"Épée, Individual, Men",Men,individual,Round One,Pool #2,Round One / Pool #2,Round 1 / Pool 2,21 Oct,David Micahnik,David Micahnik,23758,Grigory Kriss,Grigory Kriss,23574,beat,beat,,,,URS,URS_WIN,explicit_first_competitor_win,True,https://www.olympedia.org/results/93838,https://www.olympedia.org/results/94077,93838.html
olympedia-94038,93838,94038,1968 Summer Olympics,17,1968,Mexico City,"Sala de Armas Fernando Montes de Oca, Ciudad Deportiva Magdalena Mixhuca, Ciudad de México",Fencing,"Épée, Individual, Men",Men,individual,Round Two,Pool #8,Round Two / Pool #8,Round 2 / Pool 8,21 Oct,Paul Pesthy,Paul Pesthy,23779,Grigory Kriss,Grigory Kriss,23574,beat,beat,,,,URS,URS_WIN,explicit_first_competitor_win,True,https://www.olympedia.org/results/93838,https://www.olympedia.org/results/94038,93838.html
olympedia-900185,900151,900185,1968 Summer Olympics,17,1968,Mexico City,"Guadalajara Country Club, Guadalajara / Atlas Sports Club, Guadalajara / Guadalajara Sports Club, Guadalajara",Tennis,"Singles, Men",Men,individual,Round One,,Round One,Round 1,15 Oct,Jim McManus,Jim McManus,902525,Anatoly Volkov,Anatoly Volkov,902235,"6-2, 2-6, 3-6, 6-4, 7-5","6-2, 2-6, 3-6, 6-4, 7-5","6 – 2, 2 – 6, 3 – 6, 6 – 4, 7 – 5",3,2,USA,USA_WIN,set_score,True,https://www.olympedia.org/results/900151,https://www.olympedia.org/results/900185,900151.html
olympedia-900269,900254,900269,1968 Summer Olympics,17,1968,Mexico City,"Centro Deportivo Chapultepec, Ciudad de México",Tennis,"Singles, Men",Men,individual,Round Two,,Round Two,Round 2,24 Oct,Herb Fitzgibbon,Herb Fitzgibbon (1),902519,Vladimir Korotkov,Vladimir Korotkov,902234,"6-4, 6-3","6-4, 6-3","4 – 6, 3 – 6",0,2,URS,URS_WIN,set_score,True,https://www.olympedia.org/results/900254,https://www.olympedia.org/results/900269,900254.html
olympedia-900290,900283,900290,1968 Summer Olympics,17,1968,Mexico City,"Centro Deportivo Chapultepec, Ciudad de México",Tennis,"Singles, Women",Women,individual,Quarter-Finals,,Quarter-Finals,Quarter-final,24 Oct,Jane Bartkowicz,Jane Bartkowicz (1),902518,Zaiga Jansone,Zaiga Jansone,902236,"6-3, 7-5","6-3, 7-5","6 – 3, 7 – 5",2,0,USA,USA_WIN,set_score,True,https://www.olympedia.org/results/900283,https://www.olympedia.org/results/900290,900283.html
olympedia-37072,37066,37072,1968 Summer Olympics,17,1968,Mexico City,"Gimnasio Olímpico Juan de la Barrera, Ciudad de México / Pista de Hielo Revolución, Ciudad de México",Volleyball,"Volleyball, Men",Men,team,Round-Robin,,Round-Robin,Round-Robin,15 Oct 12:00,United States,United States,,Soviet Union,Soviet Union,,"11-15, 15-10, 10-15, 15-10, 15-6","11-15, 15-10, 10-15, 15-10, 15-6","11 – 15, 15 – 10, 10 – 15, 15 – 10, 15 – 6",3,2,USA,USA_WIN,set_score,True,https://www.olympedia.org/results/37066,https://www.olympedia.org/results/37072,37066.html
olympedia-37134,37114,37134,1968 Summer Olympics,17,1968,Mexico City,"Gimnasio Olímpico Juan de la Barrera, Ciudad de México / Pista de Hielo Revolución, Ciudad de México",Volleyball,"Volleyball, Women",Women,team,Round-Robin,,Round-Robin,Round-Robin,21 Oct 10:00,United States,United States,,Soviet Union,Soviet Union,,"15-1, 6-15, 15-4, 15-6","15-1, 6-15, 15-4, 15-6","1 – 15, 15 – 6, 4 – 15, 6 – 15",1,3,URS,URS_WIN,set_score,True,https://www.olympedia.org/results/37114,https://www.olympedia.org/results/37134,37114.html
olympedia-38466,38432,38466,1968 Summer Olympics,17,1968,Mexico City,"Alberca Olímpica Francisco Márquez, Ciudad de México / Alberca Olímpica Universitaria, Universidad Nacional Autónoma de México, Ciudad de México",Water Polo,"Water Polo, Men",Men,team,Group A,,Group A,Group A,21 Oct 10:00,United States,United States,,Soviet Union,Soviet Union,,8 – 3,8 – 3,3 – 8,3,8,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/38432,https://www.olympedia.org/results/38466,38432.html
olympedia-125652,125649,125652,1968 Summer Olympics,17,1968,Mexico City,"Pista de Hielo Insurgentes, Ciudad de México",Wrestling,"Bantamweight, Freestyle, Men",Men,individual,Final Round,,Final Round,Final,20 Oct,Don Behm,Don Behm,60573,Ali Aliyev,Ali Aliyev,60442,Decision,Decision,,,,USA,USA_WIN,first_competitor_result,True,https://www.olympedia.org/results/125649,https://www.olympedia.org/results/125652,125649.html
olympedia-126110,126080,126110,1968 Summer Olympics,17,1968,Mexico City,"Pista de Hielo Insurgentes, Ciudad de México",Wrestling,"Featherweight, Greco-Roman, Men",Men,individual,Round Two,,Round Two,Round 2,24 Oct,Jim Hazewinkel,Jim Hazewinkel,60653,Roman Rurua,Roman Rurua,60523,Fall (6:23),Fall (6:23),,,,URS,URS_WIN,first_competitor_result,True,https://www.olympedia.org/results/126080,https://www.olympedia.org/results/126110,126080.html
olympedia-126024,125976,126024,1968 Summer Olympics,17,1968,Mexico City,"Pista de Hielo Insurgentes, Ciudad de México",Wrestling,"Flyweight, Greco-Roman, Men",Men,individual,Round One,,Round One,Round 1,23 Oct,Rich Tamble,Rich Tamble,60776,Vladimir Bakulin,Vladimir Bakulin,60446,Decision,Decision,,,,URS,URS_WIN,first_competitor_result,True,https://www.olympedia.org/results/125976,https://www.olympedia.org/results/126024,125976.html
olympedia-125952,125943,125952,1968 Summer Olympics,17,1968,Mexico City,"Pista de Hielo Insurgentes, Ciudad de México",Wrestling,"Heavyweight, Freestyle, Men",Men,individual,Round Four,,Round Four,Round 4,20 Oct,Larry Kristoff,Larry Kristoff,60682,Aliaksandr Miadved,Aliaksandr Miadved,60505,Disqualification,Disqualification,,,,URS,URS_WIN,first_competitor_result,True,https://www.olympedia.org/results/125943,https://www.olympedia.org/results/125952,125943.html
olympedia-126323,126308,126323,1968 Summer Olympics,17,1968,Mexico City,"Pista de Hielo Insurgentes, Ciudad de México",Wrestling,"Heavyweight, Greco-Roman, Men",Men,individual,Round Three,,Round Three,Round 3,25 Oct,Bob Roop,Bob Roop,60746,Anatoly Roshchin,Anatoly Roshchin,60520,Fall (2:48),Fall (2:48),,,,URS,URS_WIN,first_competitor_result,True,https://www.olympedia.org/results/126308,https://www.olympedia.org/results/126323,126308.html
olympedia-125803,125753,125803,1968 Summer Olympics,17,1968,Mexico City,"Pista de Hielo Insurgentes, Ciudad de México",Wrestling,"Lightweight, Freestyle, Men",Men,individual,Round One,,Round One,Round 1,17 Oct,Wayne Wells,Wayne Wells,60792,Zarbeg Beriashvili,Zarbeg Beriashvili,60452,Draw,Draw,,,,DRAW,DRAW,explicit_draw,True,https://www.olympedia.org/results/125753,https://www.olympedia.org/results/125803,125753.html
olympedia-126236,126229,126236,1968 Summer Olympics,17,1968,Mexico City,"Pista de Hielo Insurgentes, Ciudad de México",Wrestling,"Middleweight, Greco-Roman, Men",Men,individual,Round Five,,Round Five,Round Five,26 Oct,Wayne Baughman,Wayne Baughman,60570,Valentin Olenik,Valentin Olenik,60514,Fall (10:08),Fall (10:08),,,,URS,URS_WIN,first_competitor_result,True,https://www.olympedia.org/results/126229,https://www.olympedia.org/results/126236,126229.html
olympedia-32351,32349,32351,1972 Summer Olympics,18,1972,Munich,"Basketballhalle, Siegenburger Straße, München",Basketball,"Basketball, Men",Men,team,Final Round,,Final Round,Final,09 Sep 21:00,United States,United States 3,,Soviet Union,Soviet Union 2,,51 – 50,51 – 50,50 – 51,50,51,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/32349,https://www.olympedia.org/results/32351,32349.html
olympedia-24090,24081,24090,1972 Summer Olympics,18,1972,Munich,"Boxhalle, Olympiapark, München",Boxing,"Bantamweight, Men",Men,individual,Quarter-Finals,,Quarter-Finals,Quarter-final,06 Sep,Ricardo Carreras,Ricardo Carreras,8638,Vasily Solomin,Vasily Solomin,8549,Decision,Decision,,,,USA,USA_WIN,first_competitor_result,True,https://www.olympedia.org/results/24081,https://www.olympedia.org/results/24090,24081.html
olympedia-24413,24400,24413,1972 Summer Olympics,18,1972,Munich,"Boxhalle, Olympiapark, München",Boxing,"Heavyweight, Men",Men,individual,Round One,,Round One,Round 1,03 Sep,Duane Bobick,Duane Bobick,8621,Yury Nesterov,Yury Nesterov,8524,Decision,Decision,,,,USA,USA_WIN,first_competitor_result,True,https://www.olympedia.org/results/24400,https://www.olympedia.org/results/24413,24400.html
olympedia-24323,24299,24323,1972 Summer Olympics,18,1972,Munich,"Boxhalle, Olympiapark, München",Boxing,"Light-Middleweight, Men",Men,individual,Round Two,,Round Two,Round 2,30 Aug,Reggie Jones,Reggie Jones,8703,Valery Tregubov,Valery Tregubov,8564,Decision,Decision,,,,URS,URS_WIN,first_competitor_result,True,https://www.olympedia.org/results/24299,https://www.olympedia.org/results/24323,24299.html
olympedia-24345,24340,24345,1972 Summer Olympics,18,1972,Munich,"Boxhalle, Olympiapark, München",Boxing,"Middleweight, Men",Men,individual,Semi-Finals,,Semi-Finals,Semi-final,08 Sep,Marvin Johnson,Marvin Johnson,8700,Vyacheslav Lemeshev,Vyacheslav Lemeshev,8515,Referee stops contest,Referee stops contest,,,,URS,URS_WIN,first_competitor_result,True,https://www.olympedia.org/results/24340,https://www.olympedia.org/results/24345,24340.html
olympedia-24266,24256,24266,1972 Summer Olympics,18,1972,Munich,"Boxhalle, Olympiapark, München",Boxing,"Welterweight, Men",Men,individual,Quarter-Finals,,Quarter-Finals,Quarter-final,06 Sep,Jesse Valdez,Jesse Valdez,8790,Anatoly Khokhlov,Anatoly Khokhlov,8507,Decision,Decision,,,,USA,USA_WIN,first_competitor_result,True,https://www.olympedia.org/results/24256,https://www.olympedia.org/results/24266,24256.html
olympedia-96890,96653,96890,1972 Summer Olympics,18,1972,Munich,"Fechthalle 1, Messegelände (Halle 11 & 12), München / Fechthalle 2, Messegelände (Halle 20), München",Fencing,"Foil, Individual, Men",Men,individual,Round One,Pool #2,Round One / Pool #2,Round 1 / Pool 2,29 Aug,John Nonna,John Nonna,23767,Vladimir Denisov,Vladimir Denisov,23562,5 – 4,5 – 4,4 – 5,4,5,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/96653,https://www.olympedia.org/results/96890,96653.html
olympedia-96981,96653,96981,1972 Summer Olympics,18,1972,Munich,"Fechthalle 1, Messegelände (Halle 11 & 12), München / Fechthalle 2, Messegelände (Halle 20), München",Fencing,"Foil, Individual, Men",Men,individual,Round One,Pool #7,Round One / Pool #7,Round 1 / Pool 7,29 Aug,Bert Freeman,Bert Freeman,23704,Anatoly Koteshev,Anatoly Koteshev,23572,5 – 3,5 – 3,5 – 3,5,3,USA,USA_WIN,numeric_score,True,https://www.olympedia.org/results/96653,https://www.olympedia.org/results/96981,96653.html
olympedia-96852,96653,96852,1972 Summer Olympics,18,1972,Munich,"Fechthalle 1, Messegelände (Halle 11 & 12), München / Fechthalle 2, Messegelände (Halle 20), München",Fencing,"Foil, Individual, Men",Men,individual,Round Two,Pool #6,Round Two / Pool #6,Round 2 / Pool 6,29 Aug,Bert Freeman,Bert Freeman,23704,Vasily Stankovich,Vasily Stankovich,23608,5 – 3,5 – 3,3 – 5,3,5,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/96653,https://www.olympedia.org/results/96852,96653.html
olympedia-99533,99414,99533,1972 Summer Olympics,18,1972,Munich,"Fechthalle 1, Messegelände (Halle 11 & 12), München / Fechthalle 2, Messegelände (Halle 20), München",Fencing,"Foil, Individual, Women",Women,individual,Round One,Pool #1,Round One / Pool #1,Round 1 / Pool 1,02 Sep,Harriet King,Harriet King,21004,Aleksandra Zabelina,Aleksandra Zabelina,20983,4 – 1,4 – 1,1 – 4,1,4,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/99414,https://www.olympedia.org/results/99533,99414.html
olympedia-97512,97460,97512,1972 Summer Olympics,18,1972,Munich,"Fechthalle 1, Messegelände (Halle 11 & 12), München / Fechthalle 2, Messegelände (Halle 20), München",Fencing,"Sabre, Individual, Men",Men,individual,Quarter-Finals,Pool #1,Quarter-Finals / Pool #1,Quarter-final,30 Aug,Paul Apostol,Paul Apostol,23651,Vladimir Nazlymov,Vladimir Nazlymov,23587,5 – 4,5 – 4,4 – 5,4,5,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/97460,https://www.olympedia.org/results/97512,97460.html
olympedia-97514,97460,97514,1972 Summer Olympics,18,1972,Munich,"Fechthalle 1, Messegelände (Halle 11 & 12), München / Fechthalle 2, Messegelände (Halle 20), München",Fencing,"Sabre, Individual, Men",Men,individual,Quarter-Finals,Pool #1,Quarter-Finals / Pool #1,Quarter-final,30 Aug,Alfonso Morales,Alfonso Morales,23761,Vladimir Nazlymov,Vladimir Nazlymov,23587,5 – 2,5 – 2,2 – 5,2,5,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/97460,https://www.olympedia.org/results/97514,97460.html
olympedia-97546,97460,97546,1972 Summer Olympics,18,1972,Munich,"Fechthalle 1, Messegelände (Halle 11 & 12), München / Fechthalle 2, Messegelände (Halle 20), München",Fencing,"Sabre, Individual, Men",Men,individual,Quarter-Finals,Pool #3,Quarter-Finals / Pool #3,Quarter-final,30 Aug,Alex Orban,Alex Orban,23772,Viktor Sidyak,Viktor Sidyak,23601,5 – 2,5 – 2,2 – 5,2,5,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/97460,https://www.olympedia.org/results/97546,97460.html
olympedia-97708,97460,97708,1972 Summer Olympics,18,1972,Munich,"Fechthalle 1, Messegelände (Halle 11 & 12), München / Fechthalle 2, Messegelände (Halle 20), München",Fencing,"Sabre, Individual, Men",Men,individual,Round One,Pool #3,Round One / Pool #3,Round 1 / Pool 3,30 Aug,Paul Apostol,Paul Apostol,23651,Viktor Sidyak,Viktor Sidyak,23601,5 – 4,5 – 4,4 – 5,4,5,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/97460,https://www.olympedia.org/results/97708,97460.html
olympedia-97641,97460,97641,1972 Summer Olympics,18,1972,Munich,"Fechthalle 1, Messegelände (Halle 11 & 12), München / Fechthalle 2, Messegelände (Halle 20), München",Fencing,"Sabre, Individual, Men",Men,individual,Round Two,Pool #5,Round Two / Pool #5,Round 2 / Pool 5,30 Aug,Paul Apostol,Paul Apostol,23651,Viktor Sidyak,Viktor Sidyak,23601,5 – 4,5 – 4,4 – 5,4,5,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/97460,https://www.olympedia.org/results/97641,97460.html
olympedia-97496,97460,97496,1972 Summer Olympics,18,1972,Munich,"Fechthalle 1, Messegelände (Halle 11 & 12), München / Fechthalle 2, Messegelände (Halle 20), München",Fencing,"Sabre, Individual, Men",Men,individual,Semi-Finals,Pool #2,Semi-Finals / Pool #2,Semi-final,31 Aug,Paul Apostol,Paul Apostol,23651,Viktor Sidyak,Viktor Sidyak,23601,5 – 3,5 – 3,3 – 5,3,5,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/97460,https://www.olympedia.org/results/97496,97460.html
olympedia-97335,97028,97335,1972 Summer Olympics,18,1972,Munich,"Fechthalle 1, Messegelände (Halle 11 & 12), München / Fechthalle 2, Messegelände (Halle 20), München",Fencing,"Épée, Individual, Men",Men,individual,Round One,Pool #5,Round One / Pool #5,Round 1 / Pool 5,04 Sep,George Masin,George Masin,23752,Sergey Paramonov,Sergey Paramonov,23591,5 – 4,5 – 4,4 – 5,4,5,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/97028,https://www.olympedia.org/results/97335,97028.html
olympedia-15327,15299,15327,1972 Summer Olympics,18,1972,Munich,"Ringer-Judo-Halle, Messegelände (Halle 14), München",Judo,"Half-Heavyweight, Men",Men,individual,Repêchage,,Repêchage,Repêchage,01 Sep,Jimmy Wooley,Jimmy Wooley,34539,Shota Chochishvili,Shota Chochishvili,33940,Ippon,Ippon,,,,URS,URS_WIN,first_competitor_result,True,https://www.olympedia.org/results/15299,https://www.olympedia.org/results/15327,15299.html
olympedia-15258,15240,15258,1972 Summer Olympics,18,1972,Munich,"Ringer-Judo-Halle, Messegelände (Halle 14), München",Judo,"Middleweight, Men",Men,individual,Round Two,,Round Two,Round 2,02 Sep,Irwin Cohen,Irwin Cohen,33606,Guram Gogolauri,Guram Gogolauri,33777,Ippon,Ippon,,,,URS,URS_WIN,first_competitor_result,True,https://www.olympedia.org/results/15240,https://www.olympedia.org/results/15258,15240.html
